state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate,B17001_001E,B23025_003E,B15003_001E
AZ,2022,4001,APACHE,37483,0.3253909388713765,0.0945999602938257,0.1378256750355281,64716,20148,42220
AZ,2022,4003,COCHISE,58421,0.1470248266157402,0.0679038380430198,0.2669621702508757,119388,47420,88211
AZ,2022,4005,COCONINO,67266,0.168811999880121,0.0697212791589092,0.3959321720862047,133468,73048,86631
AZ,2022,4007,GILA,55242,0.1899340693038945,0.0694479016279185,0.1808534771759131,52176,20087,39673
AZ,2022,4009,GRAHAM,64089,0.176677443139924,0.0597044861937554,0.1395205648140546,35262,14957,24362
AZ,2022,4011,GREENLEE,73756,0.1281289775137887,0.0301613280336684,0.1667236077895456,9428,4277,5854
AZ,2022,4012,LA PAZ,46634,0.2099120019555121,0.107282821685173,0.1238246891113133,16364,6124,13188
AZ,2022,4013,MARICOPA,80675,0.1152837606180151,0.047556394762021,0.3498486048041403,4368048,2284698,2987215
AZ,2022,4015,MOHAVE,53592,0.1601015973466509,0.0746252271812449,0.1440628883767511,209848,81983,165754
AZ,2022,4017,NAVAJO,50335,0.2547909240734353,0.0969534240748617,0.1729080505353804,104364,37616,70604
AZ,2022,4019,PIMA,64323,0.1494909349575073,0.0586593087518249,0.3498408712828637,1014998,491806,705718
AZ,2022,4021,PINAL,73313,0.1129518475354434,0.0643860533409305,0.2140475954714988,411007,182524,302970
AZ,2022,4023,SANTA CRUZ,51885,0.2020834208426093,0.0984618306114698,0.235032033562067,47614,21064,30749
AZ,2022,4025,YAVAPAI,62430,0.1232174907581527,0.0490716446011176,0.2867976690608483,233449,99854,184475
AZ,2022,4027,YUMA,56439,0.1753336773827955,0.0829607672615475,0.1642364944607302,197646,81641,131335
AZ,2023,4001,APACHE,40338,0.3122374684962195,0.1001850769530489,0.1526852353259718,64278,20532,42473
AZ,2023,4003,COCHISE,58970,0.1553853630741901,0.0729776247848537,0.2765771518838436,119342,46480,89259
AZ,2023,4005,COCONINO,69748,0.1768342268538039,0.0662934510188514,0.3961938901319695,132808,73416,87596
AZ,2023,4007,GILA,59089,0.1777527101695887,0.0736740130782271,0.1884718899521531,52303,20645,40128
AZ,2023,4009,GRAHAM,67326,0.176770078607995,0.0632199126175029,0.1459132189707366,35747,15106,24775
AZ,2023,4011,GREENLEE,75239,0.107947301317467,0.0354044548651817,0.2041459369817578,9412,4265,6030
AZ,2023,4012,LA PAZ,49506,0.1844499078057775,0.1084277969443075,0.138551031200423,16270,6087,13237
AZ,2023,4013,MARICOPA,85518,0.1125035674475243,0.0460437788365689,0.3585800579989225,4425433,2322355,3053505
AZ,2023,4015,MOHAVE,55799,0.1683167385486579,0.0693881052463878,0.1488545563987867,212617,81599,169454
AZ,2023,4017,NAVAJO,52752,0.2471248513674197,0.0876469811071475,0.176314946594438,105125,37845,71809
AZ,2023,4019,PIMA,67929,0.1435233333137477,0.0568618930359068,0.35870627429206,1021158,497064,720400
AZ,2023,4021,PINAL,77588,0.1087178865898919,0.0583798375165468,0.2215021580920576,429221,192635,317410
AZ,2023,4023,SANTA CRUZ,53614,0.2021323116006913,0.1048088779284833,0.2406951854573336,48023,21086,31301
AZ,2023,4025,YAVAPAI,66106,0.1259446480475167,0.0421219475952251,0.2960225254126742,237390,100945,188587
AZ,2023,4027,YUMA,60417,0.1645786674132139,0.0812603849559132,0.1667198835663738,200032,82451,134669
AZ,2024,4001,APACHE,41438,0.3052918080996105,0.1068543625112192,0.1656434474616293,63929,21169,42350
AZ,2024,4003,COCHISE,59742,0.1542307692307692,0.0740394622262812,0.2809485620085099,119600,47083,89778
AZ,2024,4005,COCONINO,72966,0.1677267959948993,0.0564676216535221,0.4034083178375436,132531,74556,88196
AZ,2024,4007,GILA,61986,0.1688767476713524,0.0705384322678843,0.1873235949492448,52713,21024,40390
AZ,2024,4009,GRAHAM,67325,0.1726265562441726,0.0770088594263056,0.1457895779671091,36466,16141,25235
AZ,2024,4011,GREENLEE,71164,0.0818937939859245,0.0233300589390962,0.2086601819893316,9378,4072,6374
AZ,2024,4012,LA PAZ,49478,0.174547435975056,0.1003892312682452,0.1345838916182819,16517,6166,13434
AZ,2024,4013,MARICOPA,89300,0.1097803168709257,0.0454200485362637,0.3668029378044825,4489967,2373071,3113890
AZ,2024,4015,MOHAVE,57684,0.1608782934846609,0.0725103586226603,0.1521983758700696,215691,83988,172400
AZ,2024,4017,NAVAJO,54606,0.2471965402704569,0.0884994807892004,0.191045556488119,105673,38520,72679
AZ,2024,4019,PIMA,70315,0.1431998636311688,0.0550211842430722,0.3679420390707512,1032494,501316,730009
AZ,2024,4021,PINAL,80266,0.1110072146491057,0.0596080659460147,0.2246742455261446,451304,204167,332152
AZ,2024,4023,SANTA CRUZ,55217,0.20184407335314,0.1217695208314172,0.2314218381775334,48805,21746,31825
AZ,2024,4025,YAVAPAI,69613,0.1204263495271064,0.0427798098024872,0.3025407885349456,241492,102525,192027
AZ,2024,4027,YUMA,62876,0.1560000785029487,0.0692710334229734,0.1677879596334532,203814,83296,137936
CA,2022,6001,ALAMEDA,122488,0.0915231047846495,0.049476233601234,0.5093735760808384,1637215,915389,1193888
CA,2022,6003,ALPINE,101125,0.1372937293729373,0.04860088365243,0.3960674157303371,1515,679,1068
CA,2022,6005,AMADOR,74853,0.0783849245428655,0.060143254602498,0.205636186953387,37571,16893,31901
CA,2022,6007,BUTTE,66085,0.182135704634962,0.0714939350869336,0.3083332134171787,208718,102722,138986
CA,2022,6009,CALAVERAS,77526,0.1307962762311213,0.0621218668971478,0.2139670168304529,45223,18512,35412
CA,2022,6011,COLUSA,69619,0.1094444444444444,0.073612036948862,0.1428571428571428,21600,10501,14021
CA,2022,6013,CONTRA COSTA,120020,0.0825994436428214,0.0584569377401443,0.4449742419463564,1153216,609269,808485
CA,2022,6015,DEL NORTE,61149,0.1428514504303474,0.0626063930395309,0.177155347702318,25096,10574,19672
CA,2022,6017,EL DORADO,99246,0.0859787942792892,0.0460288710779475,0.3795258590076845,190326,92203,140802
CA,2022,6019,FRESNO,67756,0.1954692118959933,0.0862063011771002,0.2338386782662173,990821,463342,624392
CA,2022,6021,GLENN,64033,0.1525226936879881,0.0768321513002364,0.1486874154262517,28422,13536,18475
CA,2022,6023,HUMBOLDT,57881,0.1982439405433419,0.0924600495160927,0.3108362175789428,133139,66645,93612
CA,2022,6025,IMPERIAL,53847,0.2105103528725576,0.1319864643973502,0.1591637099481856,171450,69742,110201
CA,2022,6027,INYO,63417,0.1192904415753499,0.0489261513724589,0.2895363092233359,18434,8707,13867
CA,2022,6029,KERN,63883,0.1929297777959344,0.0838928829373738,0.1832003816862871,881217,391833,553334
CA,2022,6031,KINGS,68540,0.1621311862925581,0.0918530214358041,0.1472487484750326,139603,58267,95084
CA,2022,6033,LAKE,56259,0.1659144412289514,0.1039638877133587,0.1821227908877311,66691,28356,48945
CA,2022,6035,LASSEN,59515,0.1523128995863106,0.079196819896035,0.1209568733153638,23931,9811,23744
CA,2022,6037,LOS ANGELES,83411,0.1373845118098436,0.0698247466555011,0.3458292388181745,9782602,5235164,6909650
CA,2022,6039,MADERA,73543,0.2006067299120507,0.1112926706081583,0.1715079004492907,150314,67318,99045
CA,2022,6041,MARIN,142019,0.0696227027322874,0.057652244468323,0.611280766319526,255793,136803,191565
CA,2022,6043,MARIPOSA,60021,0.1599056603773584,0.0623222136022756,0.2892827761573555,16960,7734,13371
CA,2022,6045,MENDOCINO,61335,0.1615522760990083,0.0910133021278628,0.2398753894080997,89649,41873,65163
CA,2022,6047,MERCED,64772,0.1852292063308562,0.1070460704607046,0.1464484311852014,276803,123984,168503
CA,2022,6049,MODOC,54962,0.1689508506616257,0.0764774044032444,0.2382122561818461,8464,3452,6511
CA,2022,6051,MONO,82038,0.1128675066819396,0.019399164758184,0.3170959700872455,13095,7423,9628
CA,2022,6053,MONTEREY,91043,0.1232373636182355,0.0530488975081563,0.2706606990927095,421244,198006,279734
CA,2022,6055,NAPA,105809,0.0788717331729162,0.0517523429268563,0.3783899340337161,134649,72132,98232
CA,2022,6057,NEVADA,79395,0.1037110898302909,0.0443228570216736,0.3880921943625248,101291,47154,79007
CA,2022,6059,ORANGE,109361,0.0968323971795225,0.0537059472082973,0.42764155060093,3137483,1688826,2197677
CA,2022,6061,PLACER,109375,0.0680901948233986,0.0426372010334459,0.424411411045083,403083,198559,286915
CA,2022,6063,PLUMAS,67885,0.1086855310123635,0.0801586347794736,0.2118009976371751,19331,8321,15236
CA,2022,6065,RIVERSIDE,84505,0.113860513014266,0.0674432889909093,0.2405558343789209,2392682,1150967,1594000
CA,2022,6067,SACRAMENTO,84010,0.131003420774491,0.0630760332448982,0.3262334575803853,1560173,795310,1077155
CA,2022,6069,SAN BENITO,104451,0.0751021930710766,0.062457788870944,0.2199763593380614,64339,34055,42300
CA,2022,6071,SAN BERNARDINO,77423,0.1377694852244022,0.0717692892713217,0.2242173132230464,2135785,1029549,1388742
CA,2022,6073,SAN DIEGO,96974,0.1057121681398669,0.0634080747358517,0.4104681035781043,3204475,1681442,2257620
CA,2022,6075,SAN FRANCISCO,136689,0.1048457550412465,0.0535625349296085,0.5978954733127261,837888,526058,680343
CA,2022,6077,SAN JOAQUIN,82837,0.1287744483171282,0.0721484233715845,0.2030697004712843,763754,364956,495879
CA,2022,6079,SAN LUIS OBISPO,90158,0.1258375990568149,0.0498876534379493,0.3797189846301582,268028,138411,189527
CA,2022,6081,SAN MATEO,149907,0.0643190229954169,0.0454973425890131,0.5287878981484693,748410,421651,547817
CA,2022,6083,SANTA BARBARA,92332,0.1353033757031244,0.0604228790731615,0.3567693808003858,425067,222002,277891
CA,2022,6085,SANTA CLARA,153792,0.0688204257267982,0.0444309242742259,0.5532795837200547,1886562,1048639,1341405
CA,2022,6087,SANTA CRUZ,104409,0.1138317502865023,0.0593747588886784,0.424801993661577,257415,142569,180171
CA,2022,6089,SHASTA,68347,0.1328318979979868,0.0655009000404099,0.2275474655307527,178820,81663,128883
CA,2022,6091,SIERRA,61108,0.1257883672039243,0.0561883067577828,0.2387727879057359,2854,1317,2249
CA,2022,6093,SISKIYOU,53898,0.1668039727218637,0.0744432071269487,0.2199850625505695,43698,17960,32134
CA,2022,6095,SOLANO,97037,0.0899569076845697,0.0588866758637821,0.281996507901991,441378,225433,312706
CA,2022,6097,SONOMA,99266,0.0891085203729998,0.0517979943241361,0.3784658913177643,481716,261458,354851
CA,2022,6099,STANISLAUS,74872,0.1372640018417585,0.0815777139957625,0.1821777378559105,547303,258171,350685
CA,2022,6101,SUTTER,72654,0.1331627816904997,0.0761577819565312,0.2062290339457729,98113,45734,64986
CA,2022,6103,TEHAMA,59029,0.1617846780665473,0.0737470598878234,0.1817009736362423,64796,27635,44986
CA,2022,6105,TRINITY,47317,0.2199529172233887,0.0735791911633707,0.1918266549828726,15717,5613,12553
CA,2022,6107,TULARE,64474,0.1847070570150026,0.0901754988036339,0.1561704596829601,467719,209802,280911
CA,2022,6109,TUOLUMNE,70432,0.1136947411112613,0.0833920084492166,0.2443794857170017,51779,22724,42078
CA,2022,6111,VENTURA,102141,0.0895105855316012,0.0531690010546376,0.3471285162177459,830237,432376,575974
CA,2022,6113,YOLO,85097,0.1742173077198288,0.0529359143434194,0.432709136812106,209629,108433,129126
CA,2022,6115,YUBA,66693,0.1541115082379606,0.0742213773943559,0.1735852713178294,80299,34195,51600
CA,2023,6001,ALAMEDA,126240,0.0922063720371209,0.0517337752220997,0.5146936470398402,1624096,908826,1189902
CA,2023,6003,ALPINE,110781,0.1233038348082595,0.0359801488833746,0.4210526315789473,1695,806,1178
CA,2023,6005,AMADOR,81526,0.0775417339083044,0.0610548498507287,0.2244339158257445,37799,17083,32504
CA,2023,6007,BUTTE,68574,0.183435076074897,0.0711086503000761,0.3172056427344656,204601,101141,136246
CA,2023,6009,CALAVERAS,79877,0.133610086100861,0.0585123101100052,0.2218580153527203,45528,19090,35694
CA,2023,6011,COLUSA,75149,0.1080229757272558,0.0838803088803088,0.1452397995705082,21588,10360,13970
CA,2023,6013,CONTRA COSTA,125727,0.0825156830844933,0.0591517728771728,0.4491015896659383,1151878,608587,810988
CA,2023,6015,DEL NORTE,66780,0.1162231484450144,0.064178835406526,0.2097416007656273,24952,11094,19853
CA,2023,6017,EL DORADO,106190,0.0826365648702804,0.0483244424727052,0.3882410175418805,190642,92417,141832
CA,2023,6019,FRESNO,71434,0.1867315123063604,0.0854979588063693,0.2385449590848958,994567,465169,631185
CA,2023,6021,GLENN,70487,0.1235658478214964,0.0737763743361561,0.1648233651884462,28414,13934,18626
CA,2023,6023,HUMBOLDT,61135,0.1890709393198756,0.0870414752171457,0.3208513824268677,132564,65509,93495
CA,2023,6025,IMPERIAL,56393,0.1964172285386278,0.1255773507441409,0.1610026948327937,171599,70148,110582
CA,2023,6027,INYO,72432,0.104828186167899,0.0274536719286204,0.3181981722673958,18392,8742,13897
CA,2023,6029,KERN,67660,0.1904753845893482,0.0835194994238117,0.185735759918398,886335,395704,558810
CA,2023,6031,KINGS,68750,0.1677286786184775,0.0981795972380096,0.1391909571406143,139672,58943,95545
CA,2023,6033,LAKE,58738,0.1667563527653214,0.1146111407723794,0.1774394605088382,66900,28095,48935
CA,2023,6035,LASSEN,64395,0.1367560578888101,0.0761932423274276,0.132127239989711,23977,10329,23326
CA,2023,6037,LOS ANGELES,87760,0.1364301809875908,0.0702811893305105,0.3547099241909215,9693427,5203398,6911969
CA,2023,6039,MADERA,75496,0.198640503263845,0.1059613422262973,0.1712878493305018,151968,67619,100299
CA,2023,6041,MARIN,142785,0.0782781712155589,0.0610817520309794,0.6045916621480051,254311,134541,189953
CA,2023,6043,MARIPOSA,65378,0.1389332859764399,0.0691522861821388,0.3086170848267622,16893,7939,13392
CA,2023,6045,MENDOCINO,64688,0.1516143497757847,0.0934347690011315,0.249236857848476,89200,41537,65191
CA,2023,6047,MERCED,65044,0.184038478667498,0.1075512310659102,0.1478021529454299,280675,124973,171486
CA,2023,6049,MODOC,56648,0.2027633443552196,0.0597196831200487,0.230040385212799,8468,3282,6438
CA,2023,6051,MONO,86953,0.1103707107843137,0.0203866894646849,0.3432124352331606,13056,7603,9650
CA,2023,6053,MONTEREY,94486,0.125814794666972,0.0513364403063461,0.2788372709238955,419124,196118,279274
CA,2023,6055,NAPA,108970,0.0842858428584285,0.0508004239178938,0.3851712542289727,133332,71712,97837
CA,2023,6057,NEVADA,84905,0.1059142434696895,0.0466944558432863,0.3946003256465599,101450,46301,79227
CA,2023,6059,ORANGE,113702,0.0948584240588398,0.0534467748740873,0.4340103767266012,3125637,1685097,2205127
CA,2023,6061,PLACER,114678,0.067050595456435,0.0449190166697052,0.4289064398957894,408930,202943,292101
CA,2023,6063,PLUMAS,64946,0.1073016857999793,0.0972310026552029,0.2046291425565491,19338,7909,15208
CA,2023,6065,RIVERSIDE,89672,0.1106118696184158,0.065828050883077,0.250840176879343,2413439,1165810,1622575
CA,2023,6067,SACRAMENTO,88724,0.1261533488401509,0.0644312820499998,0.3328378226721884,1565333,799922,1087094
CA,2023,6069,SAN BENITO,108289,0.0779469996954005,0.0595732242034492,0.2238665132336018,65660,34210,43450
CA,2023,6071,SAN BERNARDINO,82184,0.1357370441422949,0.0714086560215025,0.229014403381373,2145516,1036527,1407239
CA,2023,6073,SAN DIEGO,102285,0.1035269729034036,0.0623113330157036,0.4208987125049854,3193390,1681203,2269135
CA,2023,6075,SAN FRANCISCO,141446,0.1058288132258385,0.0562403428131069,0.6012076421243264,823358,513866,669238
CA,2023,6077,SAN JOAQUIN,88531,0.1255537920445388,0.0736676232379714,0.215729580366251,773079,372511,504845
CA,2023,6079,SAN LUIS OBISPO,93398,0.1284698119826537,0.050528730325894,0.392014003879453,267954,138634,190233
CA,2023,6081,SAN MATEO,156000,0.064913349580287,0.0447242716381252,0.5307123407216751,738600,413668,543153
CA,2023,6083,SANTA BARBARA,95977,0.137728576550735,0.0614990477917838,0.3586993995460683,423928,220540,278456
CA,2023,6085,SANTA CLARA,159674,0.0686460951021195,0.0446170010774697,0.5586562705035025,1871483,1045969,1338186
CA,2023,6087,SANTA CRUZ,109266,0.1121779290228488,0.0561290642558045,0.4355796468303216,255068,141139,179687
CA,2023,6089,SHASTA,71931,0.129757659558984,0.0624084919472913,0.2326668579004085,178633,81960,128987
CA,2023,6091,SIERRA,60000,0.1234333459931636,0.1218905472636815,0.244047619047619,2633,1206,2184
CA,2023,6093,SISKIYOU,55499,0.1657338952992929,0.0767534186149095,0.2308361557343939,43419,18136,32183
CA,2023,6095,SOLANO,99994,0.0969234778864349,0.0586094264581496,0.2836704143707997,441245,222268,313970
CA,2023,6097,SONOMA,102840,0.0857102881999043,0.0519200317468879,0.378469385158651,478869,259553,353701
CA,2023,6099,STANISLAUS,79661,0.1314843921339279,0.0776673308837927,0.1913694570103662,547160,260457,352585
CA,2023,6101,SUTTER,75450,0.1477321373967995,0.0702605016088508,0.2020745235030949,98110,45374,65268
CA,2023,6103,TEHAMA,61834,0.1541929109546745,0.0671437438387674,0.1884319223750389,64776,27389,44934
CA,2023,6105,TRINITY,53498,0.1800139940207366,0.0594134342478713,0.1804651919323357,15721,5285,12296
CA,2023,6107,TULARE,69489,0.1775726581546041,0.0884601366095645,0.1583949091113421,470078,211259,284744
CA,2023,6109,TUOLUMNE,72259,0.1071966915317126,0.0794754098360655,0.2394446829826821,51746,22875,41922
CA,2023,6111,VENTURA,107327,0.0901785930061142,0.054631255843737,0.3566576039958768,827580,431017,578196
CA,2023,6113,YOLO,88818,0.1626478779367308,0.0534493757404538,0.4408385081248704,210055,109730,130279
CA,2023,6115,YUBA,73313,0.1531778804327848,0.0728907922912205,0.178964071177604,81611,35025,52938
CA,2024,6001,ALAMEDA,129367,0.0921508736291826,0.053758271497643,0.5224594674603354,1621569,908995,1192437
CA,2024,6003,ALPINE,105521,0.0996287128712871,0.044205495818399,0.4109712230215827,1616,837,1112
CA,2024,6005,AMADOR,88044,0.0818705755414616,0.0540070695949469,0.224212927756654,37999,17257,32875
CA,2024,6007,BUTTE,67928,0.192474076115576,0.0745957535511152,0.3192443116252922,203191,100743,135188
CA,2024,6009,CALAVERAS,78647,0.1300266340654062,0.0451549788899186,0.2387170420692151,45806,19422,35917
CA,2024,6011,COLUSA,75672,0.1138515542007297,0.0977643046608563,0.1638843503587412,21651,10556,14077
CA,2024,6013,CONTRA COSTA,127229,0.0836068637239007,0.064895994216424,0.4523103539536753,1155874,608620,816152
CA,2024,6015,DEL NORTE,67058,0.129480703172358,0.0639963167587477,0.2139180460234154,24745,10860,19816
CA,2024,6017,EL DORADO,108845,0.0798894040046621,0.0449267393343468,0.4002148333286529,191327,92751,142436
CA,2024,6019,FRESNO,74201,0.1831240647973456,0.0869325223438048,0.2427275570847669,999115,472838,636203
CA,2024,6021,GLENN,67139,0.1595053003533569,0.0801583744210369,0.1512134073348569,28300,13386,18378
CA,2024,6023,HUMBOLDT,61160,0.1867050399046237,0.0901836346785215,0.3312981694273951,131689,63659,93031
CA,2024,6025,IMPERIAL,57681,0.1953161998267398,0.1252247443532981,0.1606727757384288,173150,71192,111419
CA,2024,6027,INYO,73991,0.108792765308346,0.0248076260480073,0.314960058097313,18356,8707,13770
CA,2024,6029,KERN,70210,0.1911239548846866,0.0862696507395647,0.1877143703787823,891050,400303,563569
CA,2024,6031,KINGS,70995,0.1598189863810165,0.1080320415674388,0.1364481515721245,139658,60047,96271
CA,2024,6033,LAKE,60621,0.1696638115311598,0.1105842386496337,0.1782996481466328,66897,28259,48884
CA,2024,6035,LASSEN,67403,0.1396011396011396,0.0831981681137296,0.1308570149921682,23868,10481,22345
CA,2024,6037,LOS ANGELES,90112,0.1373592854782541,0.0727071738642202,0.3601258665177108,9656697,5200656,6917487
CA,2024,6039,MADERA,76627,0.19202074218117,0.1011853011070538,0.1790818237369655,154275,69012,101462
CA,2024,6041,MARIN,149091,0.0830760373660779,0.0609393000882744,0.6112683330434828,253599,133674,189753
CA,2024,6043,MARIPOSA,68412,0.1404121757669075,0.0596499876756223,0.3181205035971223,16886,8114,13344
CA,2024,6045,MENDOCINO,68092,0.1536165275477904,0.0902014652014652,0.2515324228411657,88773,41496,65093
CA,2024,6047,MERCED,65510,0.1908879747012565,0.1055696103997197,0.1533191291413738,285864,128465,174127
CA,2024,6049,MODOC,59455,0.1790021281626862,0.0760095011876484,0.2481683554169914,8458,3368,6415
CA,2024,6051,MONO,99415,0.0855369050356403,0.0306646138054914,0.3215229519428403,13047,7794,10217
CA,2024,6053,MONTEREY,97230,0.1273251711283183,0.0519928124746203,0.2821422225381144,420883,197008,281390
CA,2024,6055,NAPA,111471,0.08457222365058,0.0520107540503638,0.3979286300246103,132242,71043,97520
CA,2024,6057,NEVADA,89882,0.1101026823547961,0.0543772272551629,0.4154531049573681,101478,46582,79518
CA,2024,6059,ORANGE,116289,0.0949702852982442,0.0540449656667401,0.4407734825063336,3126062,1692091,2217917
CA,2024,6061,PLACER,115998,0.0675554400679452,0.0479614795275132,0.4317561006749968,415629,206228,297631
CA,2024,6063,PLUMAS,66031,0.1059864653826132,0.0915245410753808,0.225494071146245,19210,7681,15180
CA,2024,6065,RIVERSIDE,93074,0.1061703902132803,0.0650109164349215,0.2556789012234556,2443638,1191323,1649835
CA,2024,6067,SACRAMENTO,92175,0.1249584965695787,0.0671211222588113,0.3413246170052232,1575171,805946,1097404
CA,2024,6069,SAN BENITO,114394,0.0666806051283583,0.0538125553113134,0.2408848001082324,66961,35029,44349
CA,2024,6071,SAN BERNARDINO,85478,0.1334703525198839,0.0710885666676858,0.2329676792148355,2156389,1046624,1421562
CA,2024,6073,SAN DIEGO,106268,0.1027902300054463,0.0611003774156734,0.4315979109181484,3198446,1689384,2281385
CA,2024,6075,SAN FRANCISCO,140970,0.1115172712565074,0.0609270948740493,0.6033867365411525,817138,507262,661758
CA,2024,6077,SAN JOAQUIN,92179,0.1241120300349711,0.0756514687995282,0.2274954113976406,785218,379834,513773
CA,2024,6079,SAN LUIS OBISPO,97446,0.1290557443154239,0.0547854881132663,0.3984145162646045,267830,138011,190352
CA,2024,6081,SAN MATEO,158855,0.0670559322471392,0.0477529653499972,0.536726817181124,736087,413189,542805
CA,2024,6083,SANTA BARBARA,98161,0.1474138786386895,0.0641750609113058,0.3681115374114468,423298,219992,278364
CA,2024,6085,SANTA CLARA,164281,0.0710646700481001,0.0486659279483049,0.5649641570410001,1869227,1050468,1347266
CA,2024,6087,SANTA CRUZ,111093,0.116197849326732,0.0611863045909442,0.4393609945054024,253688,139492,178903
CA,2024,6089,SHASTA,72636,0.1328524751864866,0.0632005057012958,0.2376548717192797,178431,82262,128897
CA,2024,6091,SIERRA,63355,0.0443925233644859,0.1263073209975865,0.2581106870229007,2568,1243,2096
CA,2024,6093,SISKIYOU,59095,0.1638264189598174,0.0789170822600975,0.2332763178354843,42954,18247,32155
CA,2024,6095,SOLANO,100401,0.0998903471586348,0.0645633333182318,0.2875703726702171,442305,220729,315641
