county_name_raw,B19013_001E,B17001_001E,B17001_002E,B23025_003E,B23025_005E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,data_year,state_fips,county_fips
"Weber County, Utah",82291,260040,19866,136933,4224,164790,31010,10422,1619,1461,UT,057,2022,49,49057
"Apache County, Arizona",40338,64278,20070,20532,2057,42473,3769,2251,171,294,AZ,001,2023,04,04001
"Cochise County, Arizona",58970,119342,18544,46480,3392,89259,15057,7394,1176,1060,AZ,003,2023,04,04003
"Coconino County, Arizona",69748,132808,23485,73416,4867,87596,20482,9806,1943,2474,AZ,005,2023,04,04005
"Gila County, Arizona",59089,52303,9297,20645,1521,40128,4991,2109,238,225,AZ,007,2023,04,04007
"Graham County, Arizona",67326,35747,6319,15106,955,24775,2407,1029,102,77,AZ,009,2023,04,04009
"Greenlee County, Arizona",75239,9412,1016,4265,151,6030,946,205,56,24,AZ,011,2023,04,04011
"La Paz County, Arizona",49506,16270,3001,6087,660,13237,1165,587,44,38,AZ,012,2023,04,04012
"Maricopa County, Arizona",85518,4425433,497877,2322355,106930,3053505,681592,299767,68274,45293,AZ,013,2023,04,04013
"Mohave County, Arizona",55799,212617,35787,81599,5662,169454,15551,6814,1759,1100,AZ,015,2023,04,04015
"Navajo County, Arizona",52752,105125,25979,37845,3317,71809,7503,3819,801,538,AZ,017,2023,04,04017
"Pima County, Arizona",67929,1021158,146560,497064,28264,720400,146720,77426,16976,17290,AZ,019,2023,04,04019
"Pinal County, Arizona",77588,429221,46664,192635,11246,317410,47556,18256,2237,2258,AZ,021,2023,04,04021
"Santa Cruz County, Arizona",53614,48023,9707,21086,2210,31301,4808,2025,405,296,AZ,023,2023,04,04023
"Yavapai County, Arizona",66106,237390,29898,100945,4252,188587,32658,16676,3775,2717,AZ,025,2023,04,04025
"Yuma County, Arizona",60417,200032,32921,82451,6700,134669,14330,6400,1357,365,AZ,027,2023,04,04027
"Alameda County, California",126240,1624096,149752,908826,47017,1189902,341463,191764,37169,42039,CA,001,2023,06,06001
"Alpine County, California",110781,1695,209,806,29,1178,264,145,46,41,CA,003,2023,06,06003
"Amador County, California",81526,37799,2931,17083,1043,32504,5027,1663,414,191,CA,005,2023,06,06005
"Butte County, California",68574,204601,37531,101141,7192,136246,28185,9610,3230,2193,CA,007,2023,06,06007
"Calaveras County, California",79877,45528,6083,19090,1117,35694,5242,2022,390,265,CA,009,2023,06,06009
"Colusa County, California",75149,21588,2332,10360,869,13970,1579,347,71,32,CA,011,2023,06,06011
"Contra Costa County, California",125727,1151878,95048,608587,35999,810988,221951,97680,26108,18477,CA,013,2023,06,06013
"Del Norte County, California",66780,24952,2900,11094,712,19853,2540,1063,359,202,CA,015,2023,06,06015
"El Dorado County, California",106190,190642,15754,92417,4466,141832,36513,12422,4077,2053,CA,017,2023,06,06017
"Fresno County, California",71434,994567,185717,465169,39771,631185,98932,34067,11786,5781,CA,019,2023,06,06019
"Glenn County, California",70487,28414,3511,13934,1028,18626,2314,489,177,90,CA,021,2023,06,06021
"Humboldt County, California",61135,132564,25064,65509,5702,93495,19521,6898,2208,1371,CA,023,2023,06,06023
"Imperial County, California",56393,171599,33705,70148,8809,110582,12731,3439,1207,427,CA,025,2023,06,06025
"Inyo County, California",72432,18392,1928,8742,240,13897,2759,1338,107,218,CA,027,2023,06,06027
"Kern County, California",67660,886335,168825,395704,33049,558810,68949,25215,6405,3222,CA,029,2023,06,06029
"Kings County, California",68750,139672,23427,58943,5787,95545,8991,3015,765,528,CA,031,2023,06,06031
"Lake County, California",58738,66900,11156,28095,3220,48935,5743,1843,809,288,CA,033,2023,06,06033
"Lassen County, California",64395,23977,3279,10329,787,23326,2309,547,143,83,CA,035,2023,06,06035
"Los Angeles County, California",87760,9693427,1322476,5203398,365701,6911969,1574014,590744,183211,103775,CA,037,2023,06,06037
"Madera County, California",75496,151968,30187,67619,7165,100299,11644,3896,1102,538,CA,039,2023,06,06039
"Marin County, California",142785,254311,19907,134541,8218,189953,63089,31407,14046,6302,CA,041,2023,06,06041
"Mariposa County, California",65378,16893,2347,7939,549,13392,2582,1150,168,233,CA,043,2023,06,06043
"Mendocino County, California",64688,89200,13524,41537,3881,65191,9871,4348,1507,522,CA,045,2023,06,06045
"Merced County, California",65044,280675,51655,124973,13441,171486,17760,5378,1397,811,CA,047,2023,06,06047
"Modoc County, California",56648,8468,1717,3282,196,6438,1031,358,58,34,CA,049,2023,06,06049
"Mono County, California",86953,13056,1441,7603,155,9650,1814,707,565,226,CA,051,2023,06,06051
"Monterey County, California",94486,419124,52732,196118,10068,279274,46167,20769,6290,4646,CA,053,2023,06,06053
"Napa County, California",108970,133332,11238,71712,3643,97837,23885,9006,3399,1394,CA,055,2023,06,06055
"Nevada County, California",84905,101450,10745,46301,2162,79227,19768,7926,2399,1170,CA,057,2023,06,06057
"Orange County, California",113702,3125637,296493,1685097,90063,2205127,601466,243974,71511,40097,CA,059,2023,06,06059
"Placer County, California",114678,408930,27419,202943,9116,292101,80818,30966,9804,3696,CA,061,2023,06,06061
"Plumas County, California",64946,19338,2075,7909,769,15208,2031,778,174,129,CA,063,2023,06,06063
"Riverside County, California",89672,2413439,266955,1165810,76743,1622575,259990,105656,25186,16175,CA,065,2023,06,06065
"Sacramento County, California",88724,1565333,197472,799922,51540,1087094,232818,85996,29411,13601,CA,067,2023,06,06067
"San Benito County, California",108289,65660,5118,34210,2038,43450,7009,2069,415,234,CA,069,2023,06,06069
"San Bernardino County, California",82184,2145516,291226,1036527,74017,1407239,207111,84594,17503,13070,CA,071,2023,06,06071
"San Diego County, California",102285,3193390,330602,1681203,104758,2269135,580152,250414,66576,57934,CA,073,2023,06,06073
"San Francisco County, California",141446,823358,87135,513866,28900,669238,234704,111703,33093,22851,CA,075,2023,06,06075
"San Joaquin County, California",88531,773079,97063,372511,27442,504845,73689,24869,6939,3413,CA,077,2023,06,06077
"San Luis Obispo County, California",93398,267954,34424,138634,7005,190233,46166,18682,6207,3519,CA,079,2023,06,06079
"San Mateo County, California",156000,738600,47945,413668,18501,543153,158423,81289,22737,25809,CA,081,2023,06,06081
"Santa Barbara County, California",95977,423928,58387,220540,13563,278456,60231,24649,7773,7229,CA,083,2023,06,06083
"Santa Clara County, California",159674,1871483,128470,1045969,46668,1338186,376766,265245,39028,66547,CA,085,2023,06,06085
"Santa Cruz County, California",109266,255068,28613,141139,7922,179687,45391,21461,5809,5607,CA,087,2023,06,06087
"Shasta County, California",71931,178633,23179,81960,5115,128987,20528,6528,2089,866,CA,089,2023,06,06089
"Sierra County, California",60000,2633,325,1206,147,2184,325,110,91,7,CA,091,2023,06,06091
"Siskiyou County, California",55499,43419,7196,18136,1392,32183,5070,1674,460,225,CA,093,2023,06,06093
"Solano County, California",99994,441245,42767,222268,13027,313970,60797,19902,5340,3025,CA,095,2023,06,06095
"Sonoma County, California",102840,478869,41044,259553,13476,353701,83196,33280,12131,5258,CA,097,2023,06,06097
"Stanislaus County, California",79661,547160,71943,260457,20229,352585,46297,14337,4831,2009,CA,099,2023,06,06099
"Sutter County, California",75450,98110,14494,45374,3188,65268,8877,2986,869,457,CA,101,2023,06,06101
"Tehama County, California",61834,64776,9988,27389,1839,44934,5952,1704,652,159,CA,103,2023,06,06103
"Trinity County, California",53498,15721,2830,5285,314,12296,1164,621,187,247,CA,105,2023,06,06105
"Tulare County, California",69489,470078,83473,211259,18688,284744,28892,11710,3255,1245,CA,107,2023,06,06107
"Tuolumne County, California",72259,51746,5547,22875,1818,41922,6706,2495,624,213,CA,109,2023,06,06109
"Ventura County, California",107327,827580,74630,431017,23547,578196,128351,53080,14551,10236,CA,111,2023,06,06111
"Yolo County, California",88818,210055,34165,109730,5865,130279,29769,14673,5867,7123,CA,113,2023,06,06113
"Yuba County, California",73313,81611,12501,35025,2553,52938,6282,2302,431,459,CA,115,2023,06,06115
"Churchill County, Nevada",73268,24902,2276,11588,753,17734,2378,648,219,55,NV,001,2023,32,32001
"Clark County, Nevada",73845,2270530,299896,1158776,86020,1592547,286282,105096,27441,16083,NV,003,2023,32,32003
"Douglas County, Nevada",88018,49374,4092,22399,709,39243,8128,3085,799,566,NV,005,2023,32,32005
"Elko County, Nevada",83427,52861,5829,27757,1182,34999,3865,1631,338,304,NV,007,2023,32,32007
"Esmeralda County, Nevada",-666666666,955,185,390,11,864,145,63,0,0,NV,009,2023,32,32009
"Eureka County, Nevada",73095,1654,365,564,0,1114,130,72,0,0,NV,011,2023,32,32011
"Humboldt County, Nevada",79946,17130,2083,8425,456,11375,1628,431,123,70,NV,013,2023,32,32013
"Lander County, Nevada",84474,5710,652,2683,247,3887,267,212,145,20,NV,015,2023,32,32015
"Lincoln County, Nevada",69496,4017,265,1793,31,3197,371,236,0,0,NV,017,2023,32,32017
"Lyon County, Nevada",73460,60404,6650,28897,1820,44055,5459,1584,228,309,NV,019,2023,32,32019
"Mineral County, Nevada",50584,4406,795,1663,87,3278,330,29,17,0,NV,021,2023,32,32021
"Nye County, Nevada",55975,52040,8081,18684,1782,41440,3582,1334,150,186,NV,023,2023,32,32023
"Pershing County, Nevada",72007,4718,380,2239,135,4942,215,214,27,6,NV,027,2023,32,32027
"Storey County, Nevada",96000,4128,292,1729,118,3348,514,447,61,37,NV,029,2023,32,32029
"Washoe County, Nevada",85600,484535,51773,262286,13024,345226,69410,31043,8243,5860,NV,031,2023,32,32031
"White Pine County, Nevada",72294,7358,617,3757,185,6663,742,197,0,4,NV,033,2023,32,32033
"Carson City, Nevada",71809,55727,6183,28396,1176,42169,6595,2814,577,348,NV,510,2023,32,32510
"Beaver County, Utah",85603,6891,514,3173,76,4407,786,167,26,23,UT,001,2023,49,49001
"Box Elder County, Utah",77865,59291,5111,28391,911,35871,6763,2296,284,239,UT,003,2023,49,49003
"Cache County, Utah",78292,132974,17385,70772,1685,70816,18207,7614,1076,1730,UT,005,2023,49,49005
"Carbon County, Utah",53673,20116,3377,8899,493,13387,1689,612,96,68,UT,007,2023,49,49007
"Daggett County, Utah",58750,711,72,338,29,509,41,10,2,6,UT,009,2023,49,49009
"Davis County, Utah",108058,363739,21737,186649,4699,219334,56085,22419,3908,2447,UT,011,2023,49,49011
"Duchesne County, Utah",74738,19588,2605,8479,333,11899,1417,498,41,67,UT,013,2023,49,49013
"Emery County, Utah",69956,9868,1112,4363,155,6373,686,395,9,4,UT,015,2023,49,49015
"Garfield County, Utah",61688,5013,557,2435,124,3698,838,240,76,30,UT,017,2023,49,49017
"Grand County, Utah",62521,9605,1632,5466,161,6896,1522,521,292,60,UT,019,2023,49,49019
"Iron County, Utah",65527,59385,8099,29412,1007,34059,6967,2394,485,476,UT,021,2023,49,49021
"Juab County, Utah",89803,12107,1091,5865,133,6990,1011,283,76,44,UT,023,2023,49,49023
"Kane County, Utah",75000,7776,812,3654,169,5750,1297,391,159,1,UT,025,2023,49,49025
"Millard County, Utah",70877,13012,1142,5893,393,7956,1451,262,23,98,UT,027,2023,49,49027
"Morgan County, Utah",126092,12572,214,5755,124,7149,1752,813,100,112,UT,029,2023,49,49029
"Piute County, Utah",44650,1694,188,672,47,1162,136,70,6,9,UT,031,2023,49,49031
"Rich County, Utah",76875,2581,244,1058,29,1602,266,100,9,17,UT,033,2023,49,49033
"Salt Lake County, Utah",94658,1168735,97689,659418,24188,762494,187544,75516,18206,13287,UT,035,2023,49,49035
"San Juan County, Utah",54890,14161,2601,6001,729,8914,1187,496,77,44,UT,037,2023,49,49037
"Sanpete County, Utah",67459,26616,4078,13026,657,17740,2333,1319,193,267,UT,039,2023,49,49039
"Sevier County, Utah",73765,21450,2258,9961,341,13799,2186,786,113,97,UT,041,2023,49,49041
"Summit County, Utah",137058,42558,1933,23434,482,28991,10395,4394,1240,806,UT,043,2023,49,49043
"Tooele County, Utah",101846,75917,3562,39710,1424,45432,6972,2657,281,631,UT,045,2023,49,49045
"Uintah County, Utah",69861,35930,3991,15680,904,21664,2640,813,89,105,UT,047,2023,49,49047
"Utah County, Utah",96877,667048,58181,349793,12387,348804,106191,34946,6083,5683,UT,049,2023,49,49049
"Wasatch County, Utah",115146,35534,1829,18244,443,22079,6809,2625,596,506,UT,051,2023,49,49051
"Washington County, Utah",76411,187636,18540,85070,2822,125296,25871,10868,2612,2357,UT,053,2023,49,49053
"Wayne County, Utah",70074,2538,231,1220,10,1810,338,80,11,27,UT,055,2023,49,49055
"Weber County, Utah",87083,263158,19731,139858,4195,168203,32859,11104,1620,1597,UT,057,2023,49,49057
"Apache County, Arizona",41438,63929,19517,21169,2262,42350,4057,2471,149,338,AZ,001,2024,04,04001
"Cochise County, Arizona",59742,119600,18446,47083,3486,89778,15198,7612,1275,1138,AZ,003,2024,04,04003
"Coconino County, Arizona",72966,132531,22229,74556,4210,88196,20755,10273,1979,2572,AZ,005,2024,04,04005
"Gila County, Arizona",61986,52713,8902,21024,1483,40390,4740,2053,495,278,AZ,007,2024,04,04007
"Graham County, Arizona",67325,36466,6295,16141,1243,25235,2505,951,139,84,AZ,009,2024,04,04009
"Greenlee County, Arizona",71164,9378,768,4072,95,6374,858,401,53,18,AZ,011,2024,04,04011
"La Paz County, Arizona",49478,16517,2883,6166,619,13434,1331,386,61,30,AZ,012,2024,04,04012
"Maricopa County, Arizona",89300,4489967,492910,2373071,107785,3113890,705905,315689,72529,48061,AZ,013,2024,04,04013
"Mohave County, Arizona",57684,215691,34700,83988,6090,172400,16295,7148,1553,1243,AZ,015,2024,04,04015
"Navajo County, Arizona",54606,105673,26122,38520,3409,72679,8471,4068,747,599,AZ,017,2024,04,04017
"Pima County, Arizona",70315,1032494,147853,501316,27583,730009,151514,80343,18541,18203,AZ,019,2024,04,04019
"Pinal County, Arizona",80266,451304,50098,204167,12170,332152,49815,19578,2715,2518,AZ,021,2024,04,04021
"Santa Cruz County, Arizona",55217,48805,9851,21746,2648,31825,4470,2187,452,256,AZ,023,2024,04,04023
"Yavapai County, Arizona",69613,241492,29082,102525,4386,192027,34634,16650,3979,2833,AZ,025,2024,04,04025
"Yuma County, Arizona",62876,203814,31795,83296,5770,137936,14688,6500,1566,390,AZ,027,2024,04,04027
"Alameda County, California",129367,1621569,149429,908995,48866,1192437,343484,196614,39244,43658,CA,001,2024,06,06001
"Alpine County, California",105521,1616,161,837,37,1112,324,71,27,35,CA,003,2024,06,06003
"Amador County, California",88044,37999,3111,17257,932,32875,5009,1771,415,176,CA,005,2024,06,06005
"Butte County, California",67928,203191,39109,100743,7515,135188,27738,10063,3223,2134,CA,007,2024,06,06007
"Calaveras County, California",78647,45806,5956,19422,877,35917,5804,1993,386,391,CA,009,2024,06,06009
"Colusa County, California",75672,21651,2465,10556,1032,14077,1692,451,145,19,CA,011,2024,06,06011
"Contra Costa County, California",127229,1155874,96639,608620,39497,816152,224527,99462,26838,18327,CA,013,2024,06,06013
"Del Norte County, California",67058,24745,3204,10860,695,19816,2660,1064,395,120,CA,015,2024,06,06015
"El Dorado County, California",108845,191327,15285,92751,4167,142436,37224,13535,4097,2149,CA,017,2024,06,06017
"Fresno County, California",74201,999115,182962,472838,41105,636203,100836,36114,11408,6066,CA,019,2024,06,06019
"Glenn County, California",67139,28300,4514,13386,1073,18378,2225,387,94,73,CA,021,2024,06,06021
"Humboldt County, California",61160,131689,24587,63659,5741,93031,19767,7314,2489,1251,CA,023,2024,06,06023
"Imperial County, California",57681,173150,33819,71192,8915,111419,12870,3594,1163,275,CA,025,2024,06,06025
"Inyo County, California",73991,18356,1997,8707,216,13770,2617,1284,142,294,CA,027,2024,06,06027
"Kern County, California",70210,891050,170301,400303,34534,563569,69245,26410,6940,3195,CA,029,2024,06,06029
"Kings County, California",70995,139658,22320,60047,6487,96271,8974,3118,510,534,CA,031,2024,06,06031
"Lake County, California",60621,66897,11350,28259,3125,48884,5866,1716,876,258,CA,033,2024,06,06033
"Lassen County, California",67403,23868,3332,10481,872,22345,2244,464,137,79,CA,035,2024,06,06035
"Los Angeles County, California",90112,9656697,1326437,5200656,378125,6917487,1590181,608104,185424,107457,CA,037,2024,06,06037
"Madera County, California",76627,154275,29624,69012,6983,101462,11908,4506,1119,637,CA,039,2024,06,06039
"Marin County, California",149091,253599,21068,133674,8146,189753,63645,32133,14027,6185,CA,041,2024,06,06041
"Mariposa County, California",68412,16886,2371,8114,484,13344,2485,1350,173,237,CA,043,2024,06,06043
"Mendocino County, California",68092,88773,13637,41496,3743,65093,9777,4561,1458,577,CA,045,2024,06,06045
"Merced County, California",65510,285864,54568,128465,13562,174127,18484,5816,1562,835,CA,047,2024,06,06047
"Modoc County, California",59455,8458,1514,3368,256,6415,1148,367,38,39,CA,049,2024,06,06049
"Mono County, California",99415,13047,1116,7794,239,10217,1977,748,360,200,CA,051,2024,06,06051
"Monterey County, California",97230,420883,53589,197008,10243,281390,46903,21516,6481,4492,CA,053,2024,06,06053
"Napa County, California",111471,132242,11184,71043,3695,97520,25153,9081,3239,1333,CA,055,2024,06,06055
"Nevada County, California",89882,101478,11173,46582,2533,79518,21323,8170,2351,1192,CA,057,2024,06,06057
"Orange County, California",116289,3126062,296883,1692091,91449,2217917,615032,247570,73002,41995,CA,059,2024,06,06059
"Placer County, California",115998,415629,28078,206228,9891,297631,83165,31741,9514,4084,CA,061,2024,06,06061
"Plumas County, California",66031,19210,2036,7681,703,15180,2173,973,130,147,CA,063,2024,06,06063
"Riverside County, California",93074,2443638,259442,1191323,77449,1649835,269593,110679,25333,16223,CA,065,2024,06,06065
"Sacramento County, California",92175,1575171,196831,805946,54096,1097404,238873,90025,30740,14933,CA,067,2024,06,06067
"San Benito County, California",114394,66961,4465,35029,1885,44349,7673,2234,467,309,CA,069,2024,06,06069
"San Bernardino County, California",85478,2156389,287814,1046624,74403,1421562,212012,87459,18019,13688,CA,071,2024,06,06071
"San Diego County, California",106268,3198446,328769,1689384,103222,2281385,593057,262772,66985,61827,CA,073,2024,06,06073
"San Francisco County, California",140970,817138,91125,507262,30906,661758,231394,110101,33281,24520,CA,075,2024,06,06075
"San Joaquin County, California",92179,785218,97455,379834,28735,513773,79428,26768,7130,3555,CA,077,2024,06,06077
"San Luis Obispo County, California",97446,267830,34565,138011,7561,190352,46055,19220,6696,3868,CA,079,2024,06,06079
"San Mateo County, California",158855,736087,49359,413189,19731,542805,160494,82171,22346,26327,CA,081,2024,06,06081
"Santa Barbara County, California",98161,423298,62400,219992,14118,278364,61162,26012,8321,6974,CA,083,2024,06,06083
"Santa Clara County, California",164281,1869227,132836,1050468,51122,1347266,379606,275940,39448,66163,CA,085,2024,06,06085
"Santa Cruz County, California",111093,253688,29478,139492,8535,178903,45302,21713,5975,5613,CA,087,2024,06,06087
"Shasta County, California",72636,178431,23705,82262,5199,128897,20853,6723,2235,822,CA,089,2024,06,06089
"Sierra County, California",63355,2568,114,1243,157,2096,351,158,18,14,CA,091,2024,06,06091
"Siskiyou County, California",59095,42954,7037,18247,1440,32155,4956,1895,449,201,CA,093,2024,06,06093
"Solano County, California",100401,442305,44182,220729,14251,315641,62203,19902,5052,3612,CA,095,2024,06,06095
"Sonoma County, California",104674,478922,42583,258155,14728,354661,84877,34590,11803,5227,CA,097,2024,06,06097
"Stanislaus County, California",81468,548756,74260,261978,20915,354367,47465,15085,5037,2046,CA,099,2024,06,06099
"Sutter County, California",79704,98022,14145,46022,3295,65188,9347,2917,900,470,CA,101,2024,06,06101
"Tehama County, California",63784,64435,10025,27534,1611,44633,6255,1658,566,131,CA,103,2024,06,06103
"Trinity County, California",53002,15734,3257,5629,472,12461,1762,514,235,281,CA,105,2024,06,06105
"Tulare County, California",71300,473100,84619,215454,20062,287690,31114,12630,2911,1223,CA,107,2024,06,06107
"Tuolumne County, California",77404,51578,5384,22881,1881,41675,6715,2595,714,232,CA,109,2024,06,06109
"Ventura County, California",109797,827795,77301,431630,24730,580810,129719,55090,14620,10442,CA,111,2024,06,06111
"Yolo County, California",91752,212568,35478,111266,6815,131208,30362,14907,6199,7323,CA,113,2024,06,06113
"Yuba County, California",76373,83190,11800,36757,2511,53788,6373,2339,405,426,CA,115,2024,06,06115
"Churchill County, Nevada",79163,25210,2053,11244,598,17797,2302,523,176,148,NV,001,2024,32,32001
"Clark County, Nevada",76472,2307841,300884,1184645,89920,1625416,297729,107764,29861,16669,NV,003,2024,32,32003
"Douglas County, Nevada",90754,49344,4461,21791,661,39611,8264,3054,703,502,NV,005,2024,32,32005
"Elko County, Nevada",86487,53188,5231,27787,1251,35210,4110,1565,354,231,NV,007,2024,32,32007
"Esmeralda County, Nevada",41715,1022,127,353,2,895,133,56,0,0,NV,009,2024,32,32009
"Eureka County, Nevada",70473,1579,393,490,0,1107,126,63,0,0,NV,011,2024,32,32011
"Humboldt County, Nevada",81073,17134,1821,8354,483,11271,1632,396,104,38,NV,013,2024,32,32013
"Lander County, Nevada",89014,5744,617,2735,257,3714,306,216,169,25,NV,015,2024,32,32015
"Lincoln County, Nevada",72307,4069,205,1652,31,3261,419,245,0,0,NV,017,2024,32,32017
"Lyon County, Nevada",80812,61417,7183,28987,1875,45243,5235,1860,349,235,NV,019,2024,32,32019
"Mineral County, Nevada",54855,4408,814,1877,184,3366,333,104,8,0,NV,021,2024,32,32021
"Nye County, Nevada",60714,52957,7487,19605,1583,42423,3982,1332,158,191,NV,023,2024,32,32023
"Pershing County, Nevada",66902,4748,561,2342,91,4879,184,83,33,0,NV,027,2024,32,32027
"Storey County, Nevada",93409,4137,292,1869,121,3323,504,452,46,36,NV,029,2024,32,32029
"Washoe County, Nevada",88096,489994,52189,266420,13672,350857,73221,32422,8436,5986,NV,031,2024,32,32031
"White Pine County, Nevada",72865,7390,605,3578,144,6376,580,202,0,6,NV,033,2024,32,32033
"Carson City, Nevada",72355,55563,5746,28429,1567,42203,6146,2878,645,347,NV,510,2024,32,32510
"Beaver County, Utah",79360,6925,460,3117,52,4540,828,189,22,27,UT,001,2024,49,49001
"Box Elder County, Utah",84550,60824,5117,29344,953,36976,7252,2104,285,231,UT,003,2024,49,49003
"Cache County, Utah",81665,135496,16195,73385,1904,72944,19628,8343,1066,1768,UT,005,2024,49,49005
"Carbon County, Utah",58377,20210,3438,9017,531,13558,1793,599,117,39,UT,007,2024,49,49007
"Daggett County, Utah",66000,732,66,316,21,562,57,26,2,14,UT,009,2024,49,49009
"Davis County, Utah",110884,367776,23636,189751,5180,223978,57886,23571,3828,2628,UT,011,2024,49,49011
"Duchesne County, Utah",78445,19856,2344,8817,380,12057,1522,563,70,72,UT,013,2024,49,49013
"Emery County, Utah",74291,9953,1243,4485,161,6441,756,383,11,28,UT,015,2024,49,49015
"Garfield County, Utah",61875,5076,498,2543,104,3813,784,182,83,31,UT,017,2024,49,49017
"Grand County, Utah",67106,9665,1285,5484,88,6978,1746,446,321,103,UT,019,2024,49,49019
"Iron County, Utah",66247,61332,8480,30239,1187,35634,7426,2809,553,485,UT,021,2024,49,49021
"Juab County, Utah",101786,12422,859,6168,136,7155,960,337,87,47,UT,023,2024,49,49023
"Kane County, Utah",77092,7929,756,3713,137,6054,1281,349,108,3,UT,025,2024,49,49025
"Millard County, Utah",73639,13152,1010,6200,343,8099,1622,232,41,75,UT,027,2024,49,49027
"Morgan County, Utah",130929,12783,181,6084,141,7345,1691,900,115,112,UT,029,2024,49,49029
"Piute County, Utah",48393,1687,172,665,39,1157,127,85,6,9,UT,031,2024,49,49031
"Rich County, Utah",79009,2607,99,1242,0,1722,298,100,6,16,UT,033,2024,49,49033
"Salt Lake County, Utah",97494,1179694,96059,670900,25609,775244,192109,79914,18597,14439,UT,035,2024,49,49035
"San Juan County, Utah",64481,14114,2551,6127,765,8836,1134,531,69,75,UT,037,2024,49,49037
"Sanpete County, Utah",70083,26938,4088,13289,679,18133,2277,1475,178,229,UT,039,2024,49,49039
"Sevier County, Utah",74884,21613,2093,10154,444,14049,2143,830,115,110,UT,041,2024,49,49041
"Summit County, Utah",138114,42848,2090,23707,420,29438,10886,4544,1387,795,UT,043,2024,49,49043
"Tooele County, Utah",106587,78583,4082,41847,1500,47262,7143,2734,292,675,UT,045,2024,49,49045
"Uintah County, Utah",73746,36539,4299,16427,981,22196,2741,834,54,93,UT,047,2024,49,49047
"Utah County, Utah",100671,689427,59899,363771,13669,363946,111797,37450,6229,6066,UT,049,2024,49,49049
"Wasatch County, Utah",117608,36300,1724,18956,382,22837,7424,3134,628,539,UT,051,2024,49,49051
"Washington County, Utah",80632,194330,19116,88663,3194,130298,29167,11603,2741,2380,UT,053,2024,49,49053
"Wayne County, Utah",76607,2570,272,1260,27,1963,471,43,9,21,UT,055,2024,49,49055
"Weber County, Utah",90005,266702,21568,142435,4279,171678,33631,12119,1520,1642,UT,057,2024,49,49057
